%prun bulk_NN()

         105169 function calls (101140 primitive calls) in 0.083 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      171    0.008    0.000    0.008    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
    33/13    0.003    0.000    0.003    0.000 version_utils.py:98(swap_class)
  914/661    0.002    0.000    0.007    0.000 python_message.py:509(init)
1942/1202    0.002    0.000    0.007    0.000 base_layer.py:2756(__setattr__)
    46/37    0.002    0.000    0.038    0.001 op_def_library.py:299(_apply_op_helper)
     9398    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
  629/212    0.001    0.000    0.006    0.000 python_message.py:1064(ByteSize)
       64    0.001    0.000    0.015    0.000 ops.py:1839(__init__)
       64    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
      330    0.001    0.000    0.002    0.000 containers.py:578(__getitem__)
     3766    0.001    0.000    0.001    0.000 python_message.py:699(getter)
  462/340    0.001    0.000    0.003    0.000 python_message.py:1318(MergeFrom)
       66    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
      590    0.001    0.000    0.001    0.000 dtypes.py:606(as_dtype)
  525/250    0.001    0.000    0.075    0.000 base.py:453(_method_wrapper)
     4066    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3040    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       24    0.001    0.000    0.018    0.001 resource_variable_ops.py:1520(_init_from_args)
     6344    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      802    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_utils.Flatten}
      995    0.001    0.000    0.001    0.000 python_message.py:1497(__init__)
       64    0.001    0.000    0.005    0.000 ops.py:1764(_create_c_op)
      601    0.001    0.000    0.002    0.000 python_message.py:832(ListFields)
       64    0.001    0.000    0.022    0.000 ops.py:3418(_create_op_internal)
      114    0.001    0.000    0.003    0.000 func_graph.py:365(inner_cm)
 1198/606    0.001    0.000    0.005    0.000 {built-in method builtins.next}
      597    0.001    0.000    0.001    0.000 contextlib.py:82(__init__)
      237    0.001    0.000    0.001    0.000 dtypes.py:192(__eq__)
       77    0.000    0.000    0.001    0.000 inspect.py:2124(_signature_from_function)
        9    0.000    0.000    0.008    0.001 random_ops.py:207(random_uniform)
  212/128    0.000    0.000    0.002    0.000 python_message.py:1110(InternalSerialize)
      568    0.000    0.000    0.001    0.000 type_checkers.py:206(CheckValue)
 1211/857    0.000    0.000    0.001    0.000 python_message.py:1452(Modified)
      239    0.000    0.000    0.001    0.000 python_message.py:461(MakeSubMessageDefault)
       64    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewOperation}
  485/450    0.000    0.000    0.002    0.000 training.py:322(__setattr__)
       77    0.000    0.000    0.002    0.000 inspect.py:1102(getfullargspec)
       24    0.000    0.000    0.005    0.000 resource_variable_ops.py:146(_variable_handle_from_shape_and_dtype)
      114    0.000    0.000    0.001    0.000 ops.py:5580(get_controller)
       64    0.000    0.000    0.001    0.000 ops.py:3521(_create_op_helper)
       64    0.000    0.000    0.004    0.000 ops.py:1737(_NodeDef)
     2389    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
