model = bulk_NN()
%prun predict(model,x_tst)

         147915 function calls (143274 primitive calls) in 0.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.074    0.002    0.074    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
       19    0.008    0.000    0.008    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
1826/1526    0.004    0.000    0.011    0.000 python_message.py:509(init)
    59/50    0.003    0.000    0.051    0.001 op_def_library.py:299(_apply_op_helper)
      108    0.002    0.000    0.002    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
    12345    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
  979/328    0.002    0.000    0.010    0.000 python_message.py:1064(ByteSize)
  798/539    0.002    0.000    0.005    0.000 python_message.py:1318(MergeFrom)
       95    0.001    0.000    0.026    0.000 ops.py:1839(__init__)
     5530    0.001    0.000    0.002    0.000 python_message.py:699(getter)
   567/20    0.001    0.000    0.012    0.001 python_message.py:1161(InternalParse)
     2015    0.001    0.000    0.003    0.000 python_message.py:1497(__init__)
       85    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
       95    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
     9999    0.001    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       95    0.001    0.000    0.008    0.000 ops.py:1764(_create_c_op)
     2029    0.001    0.000    0.001    0.000 {built-in method _weakref.proxy}
     1488    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOpType}
2697/2147    0.001    0.000    0.002    0.000 python_message.py:1452(Modified)
     1213    0.001    0.000    0.001    0.000 type_checkers.py:206(CheckValue)
      666    0.001    0.000    0.003    0.000 containers.py:578(__getitem__)
      913    0.001    0.000    0.003    0.000 python_message.py:832(ListFields)
      538    0.001    0.000    0.001    0.000 dtypes.py:606(as_dtype)
      639    0.001    0.000    0.004    0.000 python_message.py:461(MakeSubMessageDefault)
       95    0.001    0.000    0.036    0.000 ops.py:3418(_create_op_internal)
