model = bulk_NN()
predictions = predict(model,x_tst)
testAccuracy(predictions,y_tst)
%prun testAccuracy(predictions,y_tst)

         55024 function calls (53041 primitive calls) in 0.111 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.060    0.002    0.060    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
       17    0.008    0.000    0.008    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
        1    0.002    0.002    0.002    0.002 temp.py:62(testAccuracy)
  755/632    0.002    0.000    0.004    0.000 python_message.py:509(init)
     5205    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
  361/182    0.001    0.000    0.002    0.000 python_message.py:1318(MergeFrom)
      295    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_utils.Flatten}
       11    0.001    0.000    0.012    0.001 op_def_library.py:299(_apply_op_helper)
   249/17    0.001    0.000    0.005    0.000 python_message.py:1161(InternalParse)
   315/91    0.001    0.000    0.004    0.000 python_message.py:1064(ByteSize)
      857    0.001    0.000    0.001    0.000 python_message.py:1497(__init__)
       32    0.000    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
     3171    0.000    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
     1465    0.000    0.000    0.001    0.000 python_message.py:699(getter)
        1    0.000    0.000    0.109    0.109 <ipython-input-11-d17d77742df2>:1(predict)
       24    0.000    0.000    0.009    0.000 ops.py:1839(__init__)
 1102/887    0.000    0.000    0.001    0.000 python_message.py:1452(Modified)
      281    0.000    0.000    0.002    0.000 python_message.py:461(MakeSubMessageDefault)
       32    0.000    0.000    0.060    0.002 function.py:509(call)
       24    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
  314/146    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       32    0.000    0.000    0.061    0.002 function.py:1850(_call_flat)
  320/160    0.000    0.000    0.001    0.000 type_spec.py:342(__make_cmp_key)
      209    0.000    0.000    0.001    0.000 containers.py:578(__getitem__)
       32    0.000    0.000    0.066    0.002 def_function.py:757(__call__)
        1    0.000    0.000    0.107    0.107 training.py:1486(predict)
      363    0.000    0.000    0.000    0.000 type_checkers.py:206(CheckValue)
      452    0.000    0.000    0.000    0.000 decoder.py:174(ReadTag)
      464    0.000    0.000    0.000    0.000 decoder.py:122(DecodeVarint)
       24    0.000    0.000    0.003    0.000 ops.py:1764(_create_c_op)
       24    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewOperation}
      298    0.000    0.000    0.001    0.000 python_message.py:832(ListFields)
       35    0.000    0.000    0.002    0.000 function.py:2977(_cache_key)
      362    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOpType}
      871    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
      157    0.000    0.000    0.000    0.000 dtypes.py:606(as_dtype)
    34/30    0.000    0.000    0.004    0.000 decoder.py:875(DecodeMap)
       24    0.000    0.000    0.012    0.000 ops.py:3418(_create_op_internal)
    96/53    0.000    0.000    0.001    0.000 python_message.py:1110(InternalSerialize)
      808    0.000    0.000    0.000    0.000 python_message.py:1516(Modified)
1483/1418    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       32    0.000    0.000    0.001    0.000 nest.py:1142(map_structure_with_tuple_paths_up_to)
      468    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      136    0.000    0.000    0.000    0.000 dtypes.py:192(__eq__)
       35    0.000    0.000    0.032    0.001 function.py:3147(_maybe_define_function)
      160    0.000    0.000    0.000    0.000 type_spec.py:357(<listcomp>)
   110/71    0.000    0.000    0.002    0.000 decoder.py:744(DecodeField)
     1572    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        9    0.000    0.000    0.001    0.000 tensor_util.py:360(make_tensor_proto)
      757    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      265    0.000    0.000    0.000    0.000 python_message.py:655(getter)
      400    0.000    0.000    0.000    0.000 python_message.py:817(_IsPresent)
      342    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequence}
      298    0.000    0.000    0.000    0.000 python_message.py:833(<listcomp>)
       32    0.000    0.000    0.000    0.000 function.py:2151(_build_call_outputs)
        3    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphToFunction_wrapper}
    91/73    0.000    0.000    0.001    0.000 containers.py:405(extend)
      783    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       32    0.000    0.000    0.001    0.000 ops.py:2471(get_attr)
        3    0.000    0.000    0.002    0.001 auto_control_deps.py:301(__exit__)
   135/35    0.000    0.000    0.001    0.000 function.py:95(_make_input_signature_hashable)
       24    0.000    0.000    0.001    0.000 ops.py:3521(_create_op_helper)
       24    0.000    0.000    0.003    0.000 encoder.py:351(FieldSize)
      541    0.000    0.000    0.000    0.000 python_message.py:1416(_SetListener)
      191    0.000    0.000    0.000    0.000 ops.py:5989(get_default_graph)
       97    0.000    0.000    0.001    0.000 nest.py:496(_pack_sequence_as)
      139    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
       24    0.000    0.000    0.012    0.000 func_graph.py:528(_create_op_internal)
      160    0.000    0.000    0.001    0.000 type_spec.py:337(__get_cmp_key)
       46    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_SetAttrValueProto}
       28    0.000    0.000    0.001    0.000 func_graph.py:365(inner_cm)
       24    0.000    0.000    0.002    0.000 ops.py:1737(_NodeDef)
      468    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
      299    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
    96/53    0.000    0.000    0.000    0.000 python_message.py:1226(IsInitialized)
      156    0.000    0.000    0.000    0.000 python_message.py:708(field_setter)
      151    0.000    0.000    0.000    0.000 decoder.py:611(DecodeField)
       32    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_EncodeArg}
  258/164    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      191    0.000    0.000    0.000    0.000 python_message.py:1380(_Clear)
       63    0.000    0.000    0.000    0.000 nest.py:873(flatten_up_to)
    39/25    0.000    0.000    0.004    0.000 decoder.py:722(DecodeRepeatedField)
      284    0.000    0.000    0.000    0.000 python_message.py:1467(_UpdateOneofState)
       32    0.000    0.000    0.062    0.002 function.py:1827(_filtered_call)
      197    0.000    0.000    0.000    0.000 decoder.py:568(_ConvertToUnicode)
      295    0.000    0.000    0.001    0.000 nest.py:274(flatten)
   139/92    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
     1007    0.000    0.000    0.000    0.000 {built-in method _operator.getitem}
        3    0.000    0.000    0.005    0.002 function.py:412(__init__)
       48    0.000    0.000    0.007    0.000 ops.py:1448(convert_to_tensor)
        3    0.000    0.000    0.023    0.008 func_graph.py:801(func_graph_from_py_func)
      487    0.000    0.000    0.000    0.000 containers.py:207(__getitem__)
      362    0.000    0.000    0.000    0.000 ops.py:2376(type)
       76    0.000    0.000    0.000    0.000 containers.py:376(add)
       18    0.000    0.000    0.007    0.000 constant_op.py:267(_constant_impl)
       32    0.000    0.000    0.060    0.002 execute.py:33(quick_execute)
      152    0.000    0.000    0.000    0.000 containers.py:358(__init__)
      254    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      662    0.000    0.000    0.000    0.000 {method 'tobytes' of 'memoryview' objects}
      152    0.000    0.000    0.000    0.000 python_message.py:447(MakeRepeatedMessageDefault)
       28    0.000    0.000    0.000    0.000 ops.py:5580(get_controller)
       14    0.000    0.000    0.000    0.000 base.py:800(_track_trackable)
       14    0.000    0.000    0.001    0.000 dataset_ops.py:186(__init__)
       32    0.000    0.000    0.000    0.000 def_function.py:97(called_without_tracing)
       24    0.000    0.000    0.001    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
       24    0.000    0.000    0.002    0.000 auto_control_deps.py:519(_get_resource_inputs)
      102    0.000    0.000    0.000    0.000 python_message.py:1541(Modified)
      197    0.000    0.000    0.000    0.000 compat.py:114(as_str)
       32    0.000    0.000    0.065    0.002 def_function.py:798(_call)
      226    0.000    0.000    0.000    0.000 context.py:791(executing_eagerly)
   148/65    0.000    0.000    0.001    0.000 encoder.py:307(FieldSize)
       32    0.000    0.000    0.065    0.002 function.py:2825(__call__)
       20    0.000    0.000    0.000    0.000 tf_decorator.py:67(make_decorator)
      112    0.000    0.000    0.000    0.000 tensor_spec.py:87(__hash__)
       94    0.000    0.000    0.000    0.000 encoder.py:246(FieldSize)
  116/108    0.000    0.000    0.002    0.000 message.py:117(CopyFrom)
      108    0.000    0.000    0.000    0.000 dtypes.py:71(_is_ref_dtype)
      569    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       32    0.000    0.000    0.000    0.000 weakref.py:422(__contains__)
        3    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextAddFunction}
        3    0.000    0.000    0.000    0.000 function.py:2767(__init__)
       90    0.000    0.000    0.000    0.000 context.py:1851(executing_eagerly)
      191    0.000    0.000    0.000    0.000 ops.py:5557(get_default)
       24    0.000    0.000    0.000    0.000 c_api_util.py:190(tf_output)
       43    0.000    0.000    0.000    0.000 dtypes.py:172(is_compatible_with)
       80    0.000    0.000    0.000    0.000 type_checkers.py:162(CheckValue)
       32    0.000    0.000    0.000    0.000 decoder.py:594(DecodeRepeatedField)
      470    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
    64/49    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 ops.py:2862(__init__)
       64    0.000    0.000    0.000    0.000 function.py:2646(_convert_numpy_inputs)
      102    0.000    0.000    0.000    0.000 python_message.py:1532(__init__)
       24    0.000    0.000    0.000    0.000 ops.py:3052(_add_op)
   139/92    0.000    0.000    0.001    0.000 contextlib.py:108(__enter__)
      174    0.000    0.000    0.000    0.000 python_message.py:757(getter)
       25    0.000    0.000    0.000    0.000 nest.py:129(_sequence_like)
      139    0.000    0.000    0.000    0.000 contextlib.py:238(helper)
       53    0.000    0.000    0.001    0.000 python_message.py:1104(SerializePartialToString)
      105    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequenceOrComposite}
       32    0.000    0.000    0.000    0.000 def_function.py:91(_get_counter)
      344    0.000    0.000    0.000    0.000 descriptor.py:158(GetOptions)
      197    0.000    0.000    0.000    0.000 compat.py:90(as_text)
       24    0.000    0.000    0.000    0.000 ops.py:359(__init__)
       42    0.000    0.000    0.000    0.000 base.py:577(_maybe_initialize_trackable)
       32    0.000    0.000    0.000    0.000 function.py:2513(canonicalize_function_inputs)
      492    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.003    0.001 func_graph.py:1148(_get_defun_inputs)
      155    0.000    0.000    0.000    0.000 containers.py:211(__len__)
       32    0.000    0.000    0.001    0.000 nest.py:1061(map_structure_up_to)
        9    0.000    0.000    0.000    0.000 constant_op.py:70(convert_to_eager_tensor)
       64    0.000    0.000    0.000    0.000 iterator_ops.py:766(_type_spec)
       64    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_utils.FlattenForData}
       63    0.000    0.000    0.000    0.000 object_identity.py:174(__init__)
       24    0.000    0.000    0.000    0.000 ops.py:6880(_reconstruct_sequence_inputs)
       81    0.000    0.000    0.000    0.000 ops.py:5094(_distribution_strategy_stack)
       15    0.000    0.000    0.000    0.000 api.py:347(<genexpr>)
       72    0.000    0.000    0.000    0.000 python_message.py:864(HasField)
       28    0.000    0.000    0.000    0.000 ops.py:4091(name_scope)
        3    0.000    0.000    0.030    0.010 dataset_ops.py:3186(__init__)
       96    0.000    0.000    0.001    0.000 type_spec.py:301(__hash__)
       35    0.000    0.000    0.000    0.000 function.py:2008(captured_inputs)
       95    0.000    0.000    0.000    0.000 containers.py:247(__init__)
       95    0.000    0.000    0.000    0.000 python_message.py:453(MakeRepeatedScalarDefault)
       24    0.000    0.000    0.000    0.000 ops.py:2312(inputs)
       14    0.000    0.000    0.004    0.000 nest.py:573(map_structure)
       62    0.000    0.000    0.000    0.000 decoder.py:145(DecodeVarint)
      247    0.000    0.000    0.000    0.000 containers.py:197(__init__)
  208/200    0.000    0.000    0.000    0.000 nest.py:720(_yield_flat_up_to)
      126    0.000    0.000    0.000    0.000 nest.py:954(<genexpr>)
       58    0.000    0.000    0.000    0.000 python_message.py:409(MakeMessageMapDefault)
        3    0.000    0.000    0.000    0.000 function.py:1562(_initialize_function_spec)
       74    0.000    0.000    0.000    0.000 compat.py:64(as_bytes)
      483    0.000    0.000    0.000    0.000 inspect_utils.py:84(<genexpr>)
       96    0.000    0.000    0.001    0.000 nest.py:536(pack_sequence_as)
